Country/Territory,UN Region,IMF[4][5],,World Bank[6],,United Nations[7],
,,Estimate,Year,Estimate,Year,Estimate,Year
Monaco,Europe,—,,"240,862",2022,"234,317",2021
Liechtenstein,Europe,—,,"197,505",2021,"169,260",2021
Luxembourg,Europe,"131,384",2024,"125,006",2022,"133,745",2021
Bermuda,Americas,—,,"118,775",2022,"112,653",2021
Ireland,Europe,"106,059",2024,"103,983",2022,"101,109",2021
Switzerland,Europe,"105,669",2024,"93,260",2022,"93,525",2021
Cayman Islands,Americas,—,,"99,625",2022,"85,250",2021
Norway,Europe,"94,660",2024,"108,729",2022,"89,242",2021
Singapore,Asia,"88,447",2024,"82,808",2022,"66,822",2021
United States,Americas,"85,373",2024,"76,330",2022,"69,185",2021
Iceland,Europe,"84,594",2024,"73,467",2022,"69,133",2021
Qatar,Asia,"81,400",2024,"87,662",2022,"66,799",2021
Isle of Man,Europe,—,,"79,531",2020,—,
Macau,Asia,"78,962",2024,"34,585",2022,"43,555",2021
Denmark,Europe,"68,898",2024,"67,790",2022,"68,037",2021
Channel Islands,Europe,—,,"67,961",2021,—,
Faroe Islands,Europe,—,,"66,979",2022,—,
Australia,Oceania,"66,589",2024,"65,100",2022,"66,916",2021
Netherlands,Europe,"63,750",2024,"57,025",2022,"57,871",2021
San Marino,Europe,"59,405",2024,"54,983",2021,"50,425",2021
Austria,Europe,"59,225",2024,"52,085",2022,"53,840",2021
Sweden,Europe,"58,529",2024,"56,424",2022,"60,730",2021
Greenland,Americas,—,,"57,116",2021,"58,185",2021
Belgium,Europe,"55,536",2024,"49,927",2022,"51,166",2021
Finland,Europe,"55,127",2024,"50,872",2022,"53,703",2021
Canada,Americas,"54,866",2024,"55,522",2022,"52,112",2021
Germany,Europe,"54,291",2024,"48,718",2022,"51,073",2021
United Arab Emirates,Asia,"53,916",2024,"53,708",2022,"43,295",2021
Hong Kong,Asia,"53,606",2024,"48,984",2022,"49,259",2021
Israel,Asia,"53,372",2024,"54,931",2022,"54,111",2021
United Kingdom,Europe,"51,075",2024,"46,125",2022,"46,542",2021
British Virgin Islands,Americas,—,,—,,"49,444",2021
New Zealand,Oceania,"48,531",2024,"48,419",2022,"48,824",2021
France,Europe,"47,359",2024,"40,886",2022,"44,229",2021
Andorra,Europe,"44,900",2024,"41,993",2022,"42,066",2021
European Union[n 1],Europe,"42,440",2024,"37,433",2022,"31,875",[8]2021
U.S. Virgin Islands,Americas,—,,"41,976",2021,—,
Malta,Europe,"41,738",2024,"34,128",2022,"33,642",2021
Italy,Europe,"39,580",2024,"34,776",2022,"37,150",2021
Aruba,Americas,"38,018",2024,"33,301",2022,"29,342",2021
Puerto Rico,Americas,"37,172",2024,"35,209",2022,"32,716",2021
Cyprus,Asia,"37,149",[n 2]2024,"32,048",[n 2]2022,"32,281",[n 2]2021
Guam,Oceania,—,,"35,905",2021,—,
Sint Maarten (Dutch part),Americas,—,,"35,873",2022,"26,199",2021
New Caledonia,Oceania,—,,"35,745",2022,"34,994",2021
Bahamas,Americas,"35,257",2024,"31,458",2022,"27,478",2021
Brunei,Asia,"35,111",2024,"37,153",2022,"31,449",2021
Taiwan[n 3],Asia,"34,432",2024,—,,—,
South Korea,Asia,"34,165",2024,"32,423",2022,"34,940",2021
Spain,Europe,"34,045",2024,"29,675",2022,"30,058",2021
Slovenia,Europe,"34,026",2024,"28,439",2022,"29,135",2021
Japan,Asia,"33,138",2024,"34,017",2022,"39,650",2021
Saudi Arabia,Asia,"33,040",2024,"30,448",2022,"23,186",2021
Estonia,Europe,"31,855",2024,"28,247",2022,"27,991",2021
Kuwait,Asia,"31,724",2024,"41,080",2022,"32,150",2021
Czech Republic,Europe,"29,801",2024,"27,227",2022,"26,809",2021
Portugal,Europe,"28,969",2024,"24,515",2022,"24,651",2021
Bahrain,Asia,"28,876",2024,"30,147",2022,"26,563",2021
Lithuania,Europe,"28,407",2024,"25,065",2022,"23,844",2021
Guyana,Americas,"26,592",2024,"18,200",2022,"9,999",2021
Slovakia,Europe,"25,935",2024,"21,257",2022,"21,390",2021
Turks and Caicos Islands,Americas,—,,"24,918",2022,"20,909",2021
Latvia,Europe,"24,194",2024,"21,780",2022,"21,267",2021
Greece,Europe,"23,966",2024,"20,867",2022,"20,571",2021
Saint Kitts and Nevis,Americas,"23,705",2024,"20,262",2022,"18,083",2021
Barbados,Americas,"23,596",2024,"20,239",2022,"17,225",2021
Hungary,Europe,"23,319",2024,"18,390",2022,"18,728",2021
Uruguay,Americas,"23,088",2024,"20,795",2022,"17,313",2021
Poland,Europe,"23,014",2024,"18,688",2022,"17,736",2021
Croatia,Europe,"22,966",2024,"18,570",2022,"16,983",2021
Seychelles,Africa,"21,875",2024,"13,251",2022,"12,085",2021
Oman,Asia,"20,913",2024,"25,057",2022,"19,509",2021
Antigua and Barbuda,Americas,"20,533",2024,"19,920",2022,"15,246",2021
Curaçao,Americas,—,,"20,502",2022,"14,183",2021
Saint Martin (French part),Americas,—,,"20,321",2021,—,
Trinidad and Tobago,Americas,"19,861",2024,"19,630",2022,"16,033",2021
American Samoa,Oceania,—,,"19,673",2022,—,
Romania,Europe,"19,530",2024,"15,787",2022,"14,698",2021
Panama,Americas,"19,369",2024,"17,358",2022,"14,618",2021
Cook Islands,Oceania,—,,—,,"19,264",2021
Anguilla,Americas,—,,—,,"19,216",2021
French Polynesia,Oceania,—,,"18,985",2022,"19,915",2021
Costa Rica,Americas,"18,031",2024,"13,365",2022,"12,472",2021
